android,genre,review_ratting,size_pro
4.0,27.0,5.0,2.0
4.0,27.0,4.0,2.0
4.4,27.0,5.0,14.0
4.4,27.0,3.0,14.0
4.4,27.0,5.0,14.0
4.4,27.0,5.0,14.0
4.4,27.0,5.0,14.0
4.4,27.0,5.0,14.0
4.4,27.0,5.0,14.0
4.4,27.0,2.0,14.0
4.4,27.0,5.0,14.0
0.0,3.0,5.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,5.0,0.0
4.1,27.0,1.0,7.0
4.1,27.0,4.0,7.0
4.1,27.0,1.0,7.0
4.1,27.0,4.0,7.0
4.1,27.0,5.0,7.0
4.1,27.0,2.0,7.0
4.1,27.0,5.0,7.0
4.1,27.0,2.0,7.0
4.1,27.0,4.0,7.0
0.0,27.0,1.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,1.0,0.0
0.0,18.0,5.0,0.0
0.0,18.0,1.0,0.0
0.0,18.0,5.0,0.0
4.2,17.0,1.0,1.0
4.2,17.0,1.0,1.0
4.2,17.0,3.0,1.0
4.2,17.0,4.0,1.0
4.2,17.0,4.0,1.0
0.0,18.0,5.0,0.0
0.0,18.0,4.0,0.0
0.0,18.0,3.0,0.0
0.0,18.0,5.0,0.0
4.0,29.0,1.0,24.0
4.0,29.0,1.0,24.0
4.0,29.0,5.0,24.0
2.33,31.0,4.0,0.0
2.33,31.0,1.0,0.0
2.33,31.0,3.0,0.0
2.33,31.0,1.0,0.0
2.33,31.0,5.0,0.0
4.1,27.0,5.0,10.0
4.1,27.0,4.0,10.0
4.1,27.0,1.0,10.0
4.1,27.0,5.0,10.0
5.0,27.0,4.0,5.0
5.0,27.0,1.0,5.0
5.0,27.0,5.0,5.0
4.03,24.0,1.0,6.0
4.03,24.0,5.0,6.0
4.03,24.0,5.0,6.0
4.03,24.0,4.0,6.0
4.03,24.0,5.0,6.0
4.03,24.0,2.0,6.0
4.03,24.0,4.0,6.0
4.1,24.0,4.0,18.0
4.1,24.0,5.0,18.0
4.1,24.0,5.0,18.0
4.1,10.0,5.0,12.0
4.1,10.0,1.0,12.0
4.1,10.0,2.0,12.0
4.03,23.0,4.0,12.0
4.03,23.0,3.0,12.0
4.03,23.0,1.0,12.0
4.03,23.0,5.0,12.0
4.03,23.0,5.0,12.0
4.1,24.0,4.0,12.0
4.1,24.0,3.0,12.0
4.1,24.0,5.0,12.0
4.1,24.0,5.0,12.0
4.1,24.0,5.0,12.0
4.1,24.0,5.0,12.0
4.1,24.0,5.0,12.0
4.03,10.0,3.0,13.0
4.03,10.0,3.0,13.0
4.03,10.0,5.0,13.0
4.03,10.0,5.0,13.0
4.1,3.0,1.0,9.0
4.1,3.0,4.0,9.0
4.1,3.0,5.0,9.0
4.1,3.0,4.0,9.0
4.1,3.0,4.0,9.0
0.0,23.0,5.0,21.0
0.0,23.0,4.0,21.0
0.0,23.0,4.0,21.0
0.0,23.0,3.0,21.0
0.0,23.0,2.0,21.0
0.0,23.0,5.0,21.0
0.0,23.0,5.0,21.0
0.0,23.0,5.0,21.0
0.0,23.0,4.0,21.0
4.03,23.0,5.0,0.0
4.03,23.0,4.0,0.0
4.03,23.0,5.0,0.0
4.03,24.0,2.0,12.0
4.03,24.0,4.0,12.0
4.03,24.0,5.0,12.0
4.03,26.0,5.0,2.0
4.03,26.0,1.0,2.0
4.03,26.0,5.0,2.0
4.0,10.0,1.0,17.0
4.0,10.0,1.0,17.0
4.0,10.0,5.0,17.0
4.0,10.0,1.0,17.0
4.0,10.0,4.0,17.0
4.0,10.0,1.0,17.0
4.1,24.0,4.0,0.0
4.1,24.0,4.0,0.0
4.1,24.0,5.0,0.0
4.1,24.0,4.0,22.0
4.1,24.0,5.0,22.0
4.1,24.0,5.0,22.0
4.1,24.0,2.0,8.0
4.1,24.0,5.0,8.0
4.1,24.0,5.0,8.0
4.2,25.0,1.0,18.0
4.2,25.0,1.0,18.0
4.2,25.0,4.0,18.0
4.2,25.0,5.0,7.0
4.2,25.0,5.0,7.0
4.2,25.0,5.0,7.0
0.0,6.0,4.0,0.0
0.0,6.0,2.0,0.0
0.0,6.0,4.0,0.0
0.0,6.0,4.0,0.0
4.3,19.0,1.0,1.0
4.3,19.0,2.0,1.0
4.3,19.0,5.0,1.0
4.4,22.0,2.0,14.0
4.4,22.0,2.0,14.0
4.4,22.0,1.0,14.0
4.4,22.0,3.0,14.0
4.4,22.0,1.0,14.0
4.03,18.0,1.0,11.0
4.03,18.0,1.0,11.0
4.03,18.0,5.0,11.0
4.03,18.0,1.0,11.0
0.0,19.0,1.0,0.0
0.0,19.0,3.0,0.0
4.1,22.0,5.0,3.0
4.1,22.0,5.0,3.0
4.1,22.0,5.0,3.0
0.0,22.0,2.0,13.0
0.0,22.0,1.0,13.0
0.0,22.0,2.0,13.0
4.03,3.0,1.0,16.0
4.03,3.0,1.0,16.0
4.03,3.0,1.0,16.0
4.1,3.0,5.0,5.0
4.1,3.0,4.0,5.0
4.1,3.0,3.0,5.0
4.1,25.0,4.0,14.0
4.1,25.0,5.0,14.0
4.1,25.0,5.0,14.0
4.0,23.0,2.0,6.0
4.0,23.0,5.0,6.0
4.0,23.0,4.0,6.0
4.0,23.0,5.0,6.0
4.0,23.0,5.0,6.0
4.1,25.0,5.0,24.0
4.1,25.0,5.0,24.0
4.1,25.0,5.0,24.0
0.0,25.0,4.0,0.0
0.0,25.0,5.0,0.0
0.0,25.0,5.0,0.0
0.0,25.0,5.0,0.0
0.0,25.0,5.0,0.0
0.0,25.0,5.0,0.0
0.0,25.0,5.0,0.0
0.0,25.0,4.0,0.0
4.03,23.0,1.0,18.0
4.03,23.0,4.0,18.0
4.03,23.0,5.0,18.0
4.03,23.0,3.0,17.0
4.03,23.0,5.0,17.0
4.03,23.0,5.0,17.0
4.03,23.0,5.0,17.0
4.1,23.0,2.0,10.0
4.1,23.0,3.0,10.0
4.1,23.0,1.0,10.0
4.1,23.0,3.0,10.0
4.1,23.0,1.0,10.0
4.1,23.0,5.0,1.0
4.1,23.0,5.0,1.0
4.1,23.0,5.0,1.0
4.1,23.0,5.0,1.0
4.1,23.0,5.0,1.0
4.1,23.0,4.0,1.0
4.1,23.0,1.0,2.0
4.1,23.0,5.0,2.0
4.1,23.0,5.0,2.0
4.1,3.0,4.0,2.0
4.1,3.0,3.0,2.0
4.1,3.0,5.0,2.0
4.3,26.0,5.0,10.0
4.3,26.0,5.0,10.0
4.3,26.0,1.0,10.0
4.3,26.0,5.0,10.0
4.2,10.0,4.0,10.0
4.2,10.0,1.0,10.0
4.2,10.0,5.0,10.0
4.2,10.0,4.0,10.0
4.0,25.0,1.0,17.0
4.0,25.0,2.0,17.0
4.0,25.0,5.0,17.0
4.0,25.0,4.0,17.0
4.2,8.0,5.0,7.0
4.2,8.0,5.0,7.0
4.2,8.0,4.0,7.0
4.03,16.0,5.0,15.0
4.03,16.0,5.0,15.0
4.03,16.0,1.0,15.0
4.1,14.0,2.0,5.0
4.1,14.0,5.0,5.0
4.1,14.0,5.0,5.0
4.1,14.0,5.0,5.0
4.03,10.0,4.0,14.0
4.03,10.0,1.0,14.0
4.03,10.0,5.0,14.0
4.1,10.0,5.0,2.0
4.1,10.0,5.0,2.0
4.1,10.0,5.0,2.0
0.0,10.0,2.0,0.0
0.0,10.0,1.0,0.0
0.0,10.0,1.0,0.0
4.1,10.0,4.0,23.0
4.1,10.0,1.0,23.0
4.1,10.0,4.0,23.0
4.1,10.0,5.0,23.0
4.1,10.0,5.0,8.0
4.1,10.0,1.0,8.0
4.1,10.0,4.0,8.0
4.1,10.0,1.0,8.0
4.1,10.0,5.0,8.0
4.1,10.0,1.0,8.0
4.1,10.0,1.0,5.0
4.1,10.0,1.0,5.0
4.1,10.0,1.0,5.0
4.1,10.0,1.0,5.0
4.1,10.0,2.0,5.0
4.1,10.0,1.0,21.0
4.1,10.0,1.0,21.0
4.1,10.0,1.0,21.0
5.0,10.0,3.0,16.0
5.0,10.0,1.0,16.0
5.0,10.0,1.0,16.0
5.0,10.0,1.0,16.0
5.0,10.0,2.0,16.0
5.0,10.0,3.0,16.0
5.0,10.0,1.0,16.0
5.0,10.0,1.0,0.0
5.0,10.0,1.0,0.0
5.0,10.0,1.0,0.0
4.1,10.0,5.0,15.0
4.1,10.0,2.0,15.0
4.1,10.0,5.0,15.0
4.1,10.0,1.0,12.0
4.1,10.0,3.0,12.0
4.1,10.0,1.0,12.0
4.1,3.0,1.0,18.0
4.1,3.0,5.0,18.0
4.1,3.0,3.0,18.0
4.1,3.0,1.0,18.0
4.1,3.0,1.0,18.0
4.1,28.0,5.0,11.0
4.1,28.0,5.0,11.0
4.1,28.0,5.0,11.0
4.1,18.0,3.0,5.0
4.1,18.0,5.0,5.0
4.1,18.0,1.0,5.0
4.1,18.0,2.0,5.0
4.1,18.0,3.0,5.0
4.1,18.0,5.0,5.0
5.0,18.0,5.0,21.0
5.0,18.0,4.0,21.0
5.0,18.0,1.0,21.0
5.0,18.0,4.0,21.0
5.0,18.0,2.0,21.0
4.4,6.0,5.0,15.0
4.4,6.0,1.0,15.0
4.4,6.0,1.0,15.0
4.4,6.0,1.0,15.0
4.4,6.0,4.0,15.0
4.4,6.0,5.0,15.0
4.4,6.0,1.0,15.0
4.4,10.0,4.0,9.0
4.4,10.0,1.0,9.0
4.4,10.0,1.0,9.0
4.4,10.0,4.0,9.0
0.0,10.0,1.0,0.0
0.0,10.0,1.0,0.0
0.0,10.0,1.0,0.0
0.0,10.0,4.0,0.0
0.0,10.0,5.0,0.0
0.0,10.0,3.0,0.0
0.0,10.0,4.0,0.0
4.4,24.0,1.0,22.0
4.4,24.0,5.0,22.0
4.4,24.0,1.0,22.0
5.0,10.0,3.0,3.0
5.0,10.0,1.0,3.0
5.0,10.0,2.0,3.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.1,17.0,5.0,3.0
4.1,17.0,5.0,3.0
4.1,17.0,5.0,3.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.0,17.0,5.0,11.0
4.0,17.0,5.0,11.0
4.0,17.0,5.0,11.0
4.03,17.0,5.0,16.0
4.03,17.0,5.0,16.0
4.03,17.0,4.0,16.0
4.0,17.0,5.0,11.0
4.0,17.0,5.0,11.0
4.0,17.0,5.0,11.0
4.0,17.0,5.0,11.0
4.03,10.0,5.0,4.0
4.03,10.0,5.0,4.0
4.03,10.0,5.0,4.0
4.03,17.0,3.0,17.0
4.03,17.0,5.0,17.0
4.03,17.0,5.0,17.0
4.03,17.0,5.0,17.0
4.03,17.0,5.0,17.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,3.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,1.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.03,17.0,5.0,11.0
4.1,10.0,3.0,0.0
4.1,10.0,5.0,0.0
4.1,10.0,5.0,0.0
4.1,10.0,3.0,0.0
4.1,7.0,5.0,4.0
4.1,7.0,5.0,4.0
4.1,7.0,5.0,4.0
4.1,7.0,1.0,4.0
4.1,7.0,5.0,4.0
4.1,7.0,5.0,4.0
4.2,5.0,5.0,8.0
4.2,5.0,1.0,8.0
4.2,5.0,5.0,8.0
4.2,5.0,5.0,8.0
4.1,7.0,5.0,5.0
4.1,7.0,5.0,5.0
4.1,7.0,5.0,5.0
4.1,7.0,5.0,5.0
4.1,7.0,5.0,5.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.1,17.0,5.0,17.0
4.03,17.0,5.0,4.0
4.03,17.0,5.0,4.0
4.03,17.0,5.0,4.0
0.0,17.0,5.0,0.0
0.0,17.0,5.0,0.0
0.0,17.0,1.0,0.0
0.0,17.0,4.0,0.0
0.0,17.0,5.0,0.0
4.03,17.0,5.0,7.0
4.03,17.0,5.0,7.0
4.03,17.0,5.0,7.0
0.0,17.0,2.0,0.0
0.0,17.0,1.0,0.0
0.0,17.0,1.0,0.0
0.0,17.0,5.0,0.0
4.4,21.0,1.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,2.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,2.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,1.0,18.0
4.4,21.0,5.0,18.0
4.4,21.0,3.0,18.0
4.03,17.0,5.0,9.0
4.03,17.0,5.0,9.0
4.03,17.0,2.0,9.0
4.03,17.0,5.0,9.0
4.03,17.0,4.0,9.0
4.4,11.0,3.0,6.0
4.4,11.0,4.0,6.0
4.4,11.0,2.0,6.0
4.4,11.0,4.0,6.0
4.4,11.0,3.0,6.0
0.0,11.0,5.0,0.0
0.0,11.0,5.0,0.0
0.0,11.0,3.0,0.0
0.0,11.0,2.0,0.0
4.2,11.0,5.0,7.0
4.2,11.0,5.0,7.0
4.2,11.0,1.0,7.0
4.2,11.0,3.0,7.0
4.3,11.0,5.0,3.0
4.3,11.0,4.0,3.0
4.3,11.0,5.0,3.0
4.3,11.0,5.0,3.0
4.3,11.0,5.0,3.0
6.0,11.0,4.0,0.0
6.0,11.0,3.0,0.0
6.0,11.0,2.0,0.0
6.0,11.0,4.0,0.0
6.0,11.0,3.0,0.0
5.0,11.0,1.0,16.0
5.0,11.0,1.0,16.0
5.0,11.0,5.0,16.0
5.0,11.0,5.0,16.0
5.0,11.0,5.0,16.0
4.1,11.0,5.0,7.0
4.1,11.0,4.0,7.0
4.1,11.0,5.0,7.0
4.1,11.0,5.0,7.0
4.1,11.0,4.0,7.0
4.1,11.0,5.0,7.0
4.1,11.0,5.0,7.0
4.1,15.0,3.0,15.0
4.1,15.0,5.0,15.0
4.1,15.0,1.0,15.0
4.1,15.0,5.0,15.0
5.0,10.0,5.0,8.0
5.0,10.0,3.0,8.0
5.0,10.0,1.0,8.0
5.0,10.0,3.0,8.0
5.0,10.0,1.0,8.0
5.0,10.0,1.0,8.0
5.0,10.0,5.0,8.0
0.0,6.0,2.0,0.0
0.0,6.0,4.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,1.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,5.0,0.0
4.4,2.0,5.0,14.0
4.4,2.0,5.0,14.0
4.4,2.0,3.0,14.0
4.4,2.0,5.0,14.0
4.4,2.0,2.0,14.0
0.0,2.0,2.0,0.0
0.0,2.0,5.0,0.0
0.0,2.0,5.0,0.0
0.0,2.0,1.0,0.0
0.0,2.0,5.0,0.0
5.0,2.0,3.0,0.0
5.0,2.0,3.0,0.0
5.0,2.0,3.0,0.0
4.1,11.0,5.0,11.0
4.1,11.0,4.0,11.0
4.1,11.0,5.0,11.0
4.1,3.0,5.0,4.0
4.1,3.0,3.0,4.0
4.1,3.0,1.0,4.0
4.1,3.0,5.0,4.0
5.0,11.0,5.0,2.0
5.0,11.0,5.0,2.0
5.0,11.0,5.0,2.0
4.03,11.0,4.0,16.0
4.03,11.0,4.0,16.0
4.03,11.0,5.0,16.0
4.03,11.0,5.0,16.0
4.03,11.0,5.0,16.0
4.1,24.0,4.0,0.0
4.1,24.0,3.0,0.0
4.1,24.0,1.0,0.0
5.0,12.0,5.0,13.0
5.0,12.0,2.0,13.0
5.0,12.0,5.0,13.0
5.0,12.0,4.0,13.0
5.0,12.0,4.0,13.0
0.0,4.0,1.0,0.0
0.0,4.0,5.0,0.0
0.0,4.0,5.0,0.0
0.0,4.0,4.0,0.0
0.0,4.0,1.0,0.0
0.0,4.0,4.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,1.0,0.0
0.0,27.0,2.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,3.0,0.0
0.0,27.0,2.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,3.0,0.0
0.0,27.0,1.0,0.0
0.0,27.0,5.0,0.0
0.0,27.0,5.0,0.0
0.0,27.0,5.0,0.0
4.1,12.0,3.0,2.0
4.1,12.0,3.0,2.0
4.1,12.0,1.0,2.0
4.1,12.0,5.0,2.0
4.1,12.0,4.0,2.0
4.1,12.0,5.0,2.0
0.0,12.0,5.0,0.0
0.0,12.0,1.0,0.0
0.0,12.0,2.0,0.0
4.4,12.0,1.0,7.0
4.4,12.0,1.0,7.0
4.4,12.0,2.0,7.0
4.03,22.0,1.0,13.0
4.03,22.0,5.0,13.0
4.03,22.0,5.0,13.0
0.0,12.0,1.0,0.0
0.0,12.0,1.0,0.0
0.0,12.0,3.0,0.0
0.0,12.0,1.0,0.0
0.0,13.0,5.0,18.0
0.0,13.0,4.0,18.0
0.0,13.0,5.0,18.0
4.03,13.0,3.0,8.0
4.03,13.0,4.0,8.0
4.03,13.0,4.0,8.0
4.03,13.0,5.0,8.0
4.0,13.0,3.0,1.0
4.0,13.0,5.0,1.0
4.0,13.0,1.0,1.0
4.0,13.0,1.0,1.0
4.1,13.0,5.0,23.0
4.1,13.0,2.0,23.0
4.1,13.0,5.0,23.0
0.0,13.0,1.0,0.0
0.0,13.0,5.0,0.0
0.0,13.0,5.0,0.0
0.0,13.0,1.0,0.0
0.0,13.0,5.0,0.0
0.0,13.0,2.0,0.0
0.0,13.0,1.0,0.0
0.0,13.0,1.0,0.0
0.0,13.0,1.0,0.0
0.0,13.0,2.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,4.0,0.0
4.03,22.0,5.0,1.0
4.03,22.0,2.0,1.0
4.03,22.0,5.0,1.0
4.03,22.0,2.0,1.0
4.1,3.0,5.0,11.0
4.1,3.0,5.0,11.0
4.1,3.0,5.0,11.0
4.1,3.0,1.0,11.0
4.0,3.0,1.0,13.0
4.0,3.0,5.0,13.0
4.0,3.0,4.0,13.0
5.0,3.0,5.0,16.0
5.0,3.0,1.0,16.0
5.0,3.0,4.0,16.0
5.0,3.0,5.0,16.0
5.0,3.0,3.0,16.0
5.0,3.0,1.0,16.0
4.1,3.0,3.0,16.0
4.1,3.0,5.0,16.0
4.1,3.0,1.0,16.0
4.1,3.0,4.0,16.0
4.1,3.0,5.0,16.0
4.1,3.0,1.0,16.0
4.1,3.0,5.0,16.0
4.03,3.0,1.0,3.0
4.03,3.0,5.0,3.0
4.03,3.0,5.0,3.0
4.03,3.0,3.0,3.0
4.03,3.0,2.0,3.0
4.03,3.0,4.0,3.0
4.03,3.0,1.0,3.0
4.03,3.0,1.0,3.0
4.1,3.0,3.0,7.0
4.1,3.0,5.0,7.0
4.1,3.0,3.0,7.0
4.1,3.0,5.0,7.0
4.4,3.0,5.0,5.0
4.4,3.0,5.0,5.0
4.4,3.0,3.0,5.0
4.4,3.0,4.0,5.0
4.4,3.0,5.0,5.0
4.1,3.0,3.0,19.0
4.1,3.0,4.0,19.0
4.1,3.0,4.0,19.0
4.1,3.0,4.0,19.0
4.1,3.0,3.0,19.0
0.0,3.0,1.0,0.0
0.0,3.0,4.0,0.0
0.0,19.0,5.0,0.0
0.0,19.0,5.0,0.0
0.0,19.0,5.0,0.0
0.0,19.0,5.0,0.0
4.3,7.0,1.0,0.0
4.3,7.0,3.0,0.0
4.3,7.0,5.0,0.0
4.3,7.0,1.0,0.0
4.3,7.0,5.0,0.0
0.0,20.0,2.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,5.0,0.0
4.1,20.0,5.0,1.0
4.1,20.0,5.0,1.0
0.0,19.0,1.0,0.0
0.0,19.0,5.0,0.0
0.0,19.0,1.0,0.0
0.0,6.0,1.0,7.0
0.0,6.0,4.0,7.0
0.0,6.0,1.0,7.0
0.0,6.0,1.0,7.0
0.0,6.0,1.0,7.0
4.0,11.0,1.0,6.0
4.0,11.0,5.0,6.0
4.0,11.0,5.0,6.0
4.4,11.0,1.0,18.0
4.4,11.0,1.0,18.0
4.4,11.0,2.0,18.0
4.4,11.0,1.0,18.0
4.4,11.0,1.0,18.0
4.2,1.0,2.0,18.0
4.2,1.0,5.0,18.0
4.2,1.0,2.0,18.0
5.0,11.0,3.0,14.0
5.0,11.0,1.0,14.0
5.0,11.0,1.0,14.0
4.1,27.0,5.0,13.0
4.1,27.0,1.0,13.0
4.1,27.0,5.0,13.0
4.0,16.0,1.0,19.0
4.0,16.0,2.0,19.0
4.0,16.0,1.0,19.0
4.0,16.0,1.0,19.0
0.0,16.0,5.0,6.0
0.0,16.0,3.0,6.0
0.0,16.0,4.0,6.0
0.0,16.0,5.0,6.0
0.0,16.0,3.0,6.0
0.0,16.0,5.0,6.0
0.0,21.0,2.0,0.0
0.0,21.0,4.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,5.0,0.0
0.0,21.0,2.0,0.0
0.0,21.0,5.0,0.0
4.0,3.0,5.0,0.0
4.0,3.0,1.0,0.0
4.0,3.0,5.0,0.0
4.0,3.0,1.0,0.0
4.4,16.0,1.0,8.0
4.4,16.0,5.0,8.0
4.4,16.0,3.0,8.0
4.4,16.0,1.0,8.0
4.4,16.0,1.0,8.0
4.4,16.0,4.0,8.0
4.4,16.0,1.0,8.0
2.3,16.0,1.0,17.0
2.3,16.0,1.0,17.0
2.3,16.0,5.0,17.0
2.3,16.0,5.0,17.0
4.03,5.0,1.0,16.0
4.03,5.0,5.0,16.0
4.03,5.0,5.0,16.0
4.03,5.0,5.0,16.0
4.1,3.0,1.0,18.0
4.1,3.0,1.0,18.0
4.1,3.0,4.0,18.0
4.1,3.0,3.0,18.0
4.1,3.0,2.0,18.0
4.1,3.0,5.0,16.0
4.1,3.0,5.0,16.0
4.1,3.0,2.0,16.0
4.1,3.0,5.0,16.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
4.0,16.0,3.0,3.0
4.0,16.0,5.0,3.0
4.0,16.0,3.0,3.0
4.2,7.0,1.0,17.0
4.2,7.0,1.0,17.0
4.2,7.0,4.0,17.0
4.2,7.0,5.0,17.0
4.2,7.0,5.0,17.0
4.2,7.0,5.0,17.0
4.2,7.0,5.0,17.0
4.2,10.0,1.0,6.0
4.2,10.0,5.0,6.0
4.2,10.0,1.0,6.0
4.2,10.0,4.0,9.0
4.2,10.0,4.0,9.0
4.2,10.0,4.0,9.0
2.33,16.0,5.0,0.0
2.33,16.0,5.0,0.0
2.33,16.0,1.0,0.0
2.33,16.0,4.0,11.0
2.33,16.0,4.0,11.0
2.33,16.0,2.0,11.0
2.33,16.0,4.0,11.0
2.33,16.0,1.0,11.0
2.33,16.0,5.0,11.0
2.33,16.0,3.0,11.0
2.33,16.0,5.0,11.0
4.1,3.0,1.0,16.0
4.1,3.0,1.0,16.0
4.1,3.0,3.0,16.0
4.1,3.0,5.0,16.0
0.0,16.0,5.0,0.0
0.0,16.0,3.0,0.0
0.0,16.0,4.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,5.0,0.0
4.1,16.0,4.0,8.0
4.1,16.0,1.0,8.0
4.1,16.0,1.0,8.0
4.1,16.0,3.0,8.0
4.1,16.0,4.0,8.0
4.1,16.0,4.0,8.0
4.1,15.0,4.0,6.0
4.1,15.0,5.0,6.0
4.1,15.0,5.0,6.0
4.1,15.0,5.0,6.0
4.1,15.0,5.0,6.0
5.0,2.0,5.0,6.0
5.0,2.0,1.0,6.0
5.0,2.0,2.0,6.0
5.0,2.0,4.0,6.0
4.4,15.0,2.0,14.0
4.4,15.0,4.0,14.0
4.4,15.0,4.0,14.0
4.4,15.0,5.0,14.0
4.4,10.0,2.0,13.0
4.4,10.0,5.0,13.0
4.4,10.0,1.0,13.0
0.0,15.0,2.0,0.0
0.0,15.0,5.0,0.0
0.0,15.0,5.0,0.0
4.0,15.0,3.0,18.0
4.0,15.0,2.0,18.0
4.0,15.0,1.0,18.0
4.0,15.0,5.0,18.0
4.0,15.0,1.0,18.0
4.0,15.0,1.0,18.0
4.4,15.0,1.0,2.0
4.4,15.0,1.0,2.0
4.4,15.0,1.0,2.0
4.4,15.0,5.0,2.0
4.4,15.0,1.0,2.0
4.4,15.0,1.0,2.0
4.4,15.0,1.0,2.0
4.4,15.0,1.0,2.0
4.03,15.0,1.0,9.0
4.03,15.0,1.0,9.0
4.03,15.0,5.0,9.0
4.03,15.0,1.0,8.0
4.03,15.0,5.0,8.0
4.03,15.0,2.0,8.0
4.03,15.0,4.0,8.0
4.2,15.0,4.0,16.0
4.2,15.0,3.0,16.0
4.2,15.0,1.0,16.0
4.2,15.0,1.0,16.0
4.2,15.0,4.0,16.0
4.1,10.0,1.0,8.0
4.1,10.0,1.0,8.0
4.1,10.0,5.0,8.0
4.1,10.0,1.0,8.0
4.1,10.0,1.0,8.0
4.1,10.0,2.0,8.0
4.1,10.0,2.0,8.0
4.1,10.0,4.0,8.0
4.03,14.0,2.0,12.0
4.03,14.0,4.0,12.0
4.03,14.0,5.0,12.0
6.0,14.0,5.0,7.0
6.0,14.0,4.0,7.0
6.0,14.0,5.0,7.0
0.0,14.0,5.0,0.0
0.0,14.0,5.0,0.0
0.0,14.0,5.0,0.0
0.0,14.0,5.0,0.0
4.0,14.0,2.0,12.0
4.0,14.0,5.0,12.0
4.0,14.0,5.0,12.0
4.0,14.0,2.0,12.0
4.0,14.0,5.0,12.0
2.3,14.0,1.0,19.0
2.3,14.0,3.0,19.0
2.3,14.0,5.0,19.0
2.3,14.0,5.0,19.0
0.0,20.0,1.0,0.0
0.0,20.0,3.0,0.0
0.0,20.0,5.0,0.0
0.0,20.0,5.0,0.0
0.0,20.0,4.0,0.0
4.03,11.0,1.0,6.0
4.03,11.0,3.0,6.0
4.03,11.0,4.0,6.0
4.03,11.0,5.0,6.0
4.03,11.0,1.0,6.0
4.1,11.0,5.0,4.0
4.1,11.0,5.0,4.0
4.1,11.0,5.0,4.0
5.0,11.0,1.0,5.0
5.0,11.0,1.0,5.0
5.0,11.0,1.0,5.0
5.0,11.0,1.0,5.0
4.4,11.0,3.0,14.0
4.4,11.0,5.0,14.0
4.4,11.0,5.0,14.0
4.1,11.0,5.0,13.0
4.1,11.0,4.0,13.0
4.1,11.0,2.0,13.0
4.1,23.0,5.0,14.0
4.1,23.0,3.0,14.0
4.1,23.0,5.0,14.0
4.1,10.0,5.0,0.0
4.1,10.0,1.0,0.0
4.1,10.0,1.0,0.0
4.1,10.0,1.0,0.0
4.03,26.0,5.0,22.0
4.03,26.0,1.0,22.0
4.03,26.0,1.0,22.0
4.03,26.0,1.0,22.0
4.03,26.0,5.0,22.0
4.03,26.0,1.0,22.0
4.03,26.0,5.0,22.0
4.1,26.0,5.0,0.0
4.1,26.0,5.0,0.0
4.1,26.0,5.0,0.0
4.1,26.0,3.0,0.0
4.03,26.0,1.0,8.0
4.03,26.0,3.0,8.0
4.03,26.0,5.0,8.0
4.03,26.0,5.0,8.0
4.1,26.0,2.0,1.0
4.1,26.0,2.0,1.0
4.1,26.0,1.0,1.0
4.1,26.0,5.0,1.0
4.1,26.0,5.0,1.0
0.0,26.0,5.0,0.0
